Date,Close/Last,Volume,Open,High,Low
12/31/2024,$403.84 ,76825120,$423.79 ,$427.93 ,$402.54 
12/30/2024,$417.41 ,64941010,$419.40 ,$427.00 ,$415.75 
12/27/2024,$431.66 ,82666820,$449.52 ,$450.00 ,$426.50 
12/26/2024,$454.13 ,76651210,$465.16 ,$465.33 ,$451.02 
12/24/2024,$462.28 ,59551750,$435.90 ,$462.78 ,$435.14 
12/23/2024,$430.60 ,72698060,$431.00 ,$434.51 ,$415.41 
12/20/2024,$421.06 ,132216200,$425.51 ,$447.08 ,$417.64 
12/19/2024,$436.17 ,118566100,$451.88 ,$456.36 ,$420.02 
12/18/2024,$440.13 ,149340800,$466.50 ,$488.54 ,$427.01 
12/17/2024,$479.86 ,131223000,$475.90 ,$483.99 ,$457.51 
12/16/2024,$463.02 ,114083800,$441.09 ,$463.19 ,$436.15 
12/13/2024,$436.23 ,89000160,$420.00 ,$436.30 ,$415.71 
12/12/2024,$418.10 ,87752230,$424.84 ,$429.30 ,$415.00 
12/11/2024,$424.77 ,104287600,$409.70 ,$424.88 ,$402.38 
12/10/2024,$400.99 ,97563580,$392.68 ,$409.73 ,$390.85 
12/9/2024,$389.79 ,96359170,$397.61 ,$404.80 ,$378.01 
12/6/2024,$389.22 ,81455830,$377.42 ,$389.49 ,$370.80 
12/5/2024,$369.49 ,81403570,$359.87 ,$375.43 ,$359.50 
12/4/2024,$357.93 ,50810870,$353.00 ,$358.10 ,$348.60 
12/3/2024,$351.42 ,58267200,$351.80 ,$355.69 ,$348.20 
12/2/2024,$357.09 ,77986480,$352.38 ,$360.00 ,$351.15 
11/29/2024,$345.16 ,37167620,$336.08 ,$345.45 ,$334.65 
11/27/2024,$332.89 ,57896440,$341.80 ,$342.55 ,$326.59 
11/26/2024,$338.23 ,62295860,$341.00 ,$346.96 ,$335.66 
11/25/2024,$338.59 ,95890900,$360.14 ,$361.93 ,$338.20 
11/22/2024,$352.56 ,89140720,$341.09 ,$361.53 ,$337.70 
11/21/2024,$339.64 ,58011720,$343.81 ,$347.99 ,$335.28 
11/20/2024,$342.03 ,66340650,$345.00 ,$346.60 ,$334.30 
11/19/2024,$346.00 ,88852450,$335.76 ,$347.38 ,$332.75 
11/18/2024,$338.74 ,126547500,$340.73 ,$348.55 ,$330.01 
11/15/2024,$320.72 ,114440300,$310.57 ,$324.68 ,$309.22 
11/14/2024,$311.18 ,120726100,$327.69 ,$329.98 ,$310.37 
11/13/2024,$330.24 ,125405600,$335.85 ,$344.60 ,$322.50 
11/12/2024,$328.49 ,155726000,$342.74 ,$345.84 ,$323.31 
11/11/2024,$350.00 ,210521600,$346.30 ,$358.64 ,$336.00 
11/8/2024,$321.22 ,204782800,$299.14 ,$328.71 ,$297.66 
11/7/2024,$296.91 ,117309200,$288.89 ,$299.75 ,$285.52 
11/6/2024,$288.53 ,165228700,$284.67 ,$289.59 ,$275.62 
11/5/2024,$251.44 ,69282510,$247.34 ,$255.28 ,$246.21 
11/4/2024,$242.84 ,68802350,$244.56 ,$248.90 ,$238.88 
11/1/2024,$248.98 ,57544760,$252.04 ,$254.00 ,$246.63 
10/31/2024,$249.85 ,66575290,$257.99 ,$259.75 ,$249.25 
10/30/2024,$257.55 ,53993580,$258.04 ,$263.35 ,$255.82 
10/29/2024,$259.52 ,80521750,$264.51 ,$264.98 ,$255.51 
10/28/2024,$262.51 ,107653600,$270.00 ,$273.54 ,$262.24 
10/25/2024,$269.19 ,161611900,$256.01 ,$269.49 ,$255.32 
10/24/2024,$260.48 ,204491900,$244.68 ,$262.12 ,$242.65 
10/23/2024,$213.65 ,80938890,$217.13 ,$218.72 ,$212.11 
10/22/2024,$217.97 ,43268740,$217.31 ,$218.22 ,$215.26 
10/21/2024,$218.85 ,47328990,$218.90 ,$220.48 ,$215.73 
10/18/2024,$220.70 ,49611870,$220.71 ,$222.28 ,$219.23 
10/17/2024,$220.89 ,50791780,$221.59 ,$222.08 ,$217.90 
10/16/2024,$221.33 ,49632820,$221.40 ,$222.82 ,$218.93 
10/15/2024,$219.57 ,62988790,$220.01 ,$224.26 ,$217.12 
10/14/2024,$219.16 ,86291920,$220.13 ,$221.91 ,$213.74 
10/11/2024,$217.80 ,142628900,$220.13 ,$223.34 ,$214.38 
10/10/2024,$238.77 ,83087060,$241.81 ,$242.79 ,$232.34 
10/9/2024,$241.05 ,66289530,$243.82 ,$247.43 ,$239.51 
10/8/2024,$244.50 ,56303160,$243.56 ,$246.21 ,$240.56 
10/7/2024,$240.83 ,68113270,$249.00 ,$249.83 ,$240.70 
10/4/2024,$250.08 ,86726290,$246.69 ,$250.96 ,$244.58 
10/3/2024,$240.66 ,80729240,$244.48 ,$249.79 ,$237.81 
10/2/2024,$249.02 ,93983930,$247.55 ,$251.16 ,$241.50 
10/1/2024,$258.02 ,87397610,$262.67 ,$263.98 ,$248.53 
9/30/2024,$261.63 ,80873380,$259.04 ,$264.86 ,$255.77 
9/27/2024,$260.46 ,70988070,$257.38 ,$260.70 ,$254.12 
9/26/2024,$254.22 ,67142190,$260.60 ,$261.75 ,$251.53 
9/25/2024,$257.02 ,65034320,$252.54 ,$257.05 ,$252.28 
9/24/2024,$254.27 ,88491000,$254.08 ,$257.19 ,$249.05 
9/23/2024,$250.00 ,86927190,$242.61 ,$250.00 ,$241.92 
9/20/2024,$238.25 ,99879070,$241.52 ,$243.99 ,$235.92 
9/19/2024,$243.92 ,102694600,$234.00 ,$244.24 ,$232.13 
9/18/2024,$227.20 ,78010200,$230.09 ,$235.68 ,$226.88 
9/17/2024,$227.87 ,66761640,$229.45 ,$234.57 ,$226.55 
9/16/2024,$226.78 ,54323000,$229.30 ,$229.96 ,$223.53 
9/13/2024,$230.29 ,59515110,$228.00 ,$232.67 ,$226.32 
9/12/2024,$229.81 ,72020040,$224.66 ,$231.45 ,$223.83 
9/11/2024,$228.13 ,83548630,$224.55 ,$228.47 ,$216.80 
9/10/2024,$226.17 ,78891140,$220.07 ,$226.40 ,$218.64 
9/9/2024,$216.27 ,67443520,$216.20 ,$219.87 ,$213.67 
9/6/2024,$210.73 ,112177000,$232.60 ,$233.60 ,$210.51 
9/5/2024,$230.17 ,119355000,$223.49 ,$235.00 ,$222.25 
9/4/2024,$219.41 ,80651770,$210.59 ,$222.22 ,$210.57 
9/3/2024,$210.60 ,76714220,$215.26 ,$219.90 ,$209.64 
8/30/2024,$214.11 ,63370610,$208.63 ,$214.57 ,$207.03 
8/29/2024,$206.28 ,62308820,$209.80 ,$214.89 ,$205.97 
8/28/2024,$205.75 ,64116350,$209.72 ,$211.84 ,$202.59 
8/27/2024,$209.21 ,62821390,$213.25 ,$215.66 ,$206.94 
8/26/2024,$213.21 ,59301190,$218.75 ,$219.09 ,$211.01 
8/23/2024,$220.32 ,81525210,$214.46 ,$221.48 ,$214.21 
8/22/2024,$210.66 ,79514480,$223.82 ,$224.80 ,$210.32 
8/21/2024,$223.27 ,70145960,$222.67 ,$224.66 ,$218.86 
8/20/2024,$221.10 ,74001180,$224.88 ,$228.22 ,$219.56 
8/19/2024,$222.72 ,76435220,$217.07 ,$222.98 ,$214.09 
8/16/2024,$216.12 ,88765120,$211.15 ,$219.80 ,$210.80 
8/15/2024,$214.14 ,89848530,$205.02 ,$215.88 ,$204.82 
8/14/2024,$201.38 ,70250010,$207.39 ,$208.44 ,$198.75 
8/13/2024,$207.83 ,76247390,$198.47 ,$208.49 ,$197.06 
8/12/2024,$197.49 ,64044900,$199.02 ,$199.26 ,$194.67 
8/9/2024,$200.00 ,58648270,$197.05 ,$200.88 ,$195.11 
8/8/2024,$198.84 ,65033870,$195.70 ,$200.70 ,$192.04 
8/7/2024,$191.76 ,71159780,$200.77 ,$203.49 ,$191.48 
8/6/2024,$200.64 ,73783940,$200.75 ,$202.90 ,$192.67 
8/5/2024,$198.88 ,100308800,$185.22 ,$203.88 ,$182.00 
8/2/2024,$207.67 ,82880120,$214.88 ,$216.13 ,$205.78 
8/1/2024,$216.86 ,83861900,$227.69 ,$231.87 ,$214.33 
7/31/2024,$232.07 ,67497010,$227.90 ,$234.68 ,$226.79 
7/30/2024,$222.62 ,100560300,$232.25 ,$232.41 ,$220.00 
7/29/2024,$232.10 ,129201800,$224.90 ,$234.27 ,$224.70 
7/26/2024,$219.80 ,94604150,$221.19 ,$222.28 ,$215.33 
7/25/2024,$220.25 ,100636500,$216.80 ,$226.00 ,$216.23 
7/24/2024,$215.99 ,167942900,$225.42 ,$225.99 ,$214.71 
7/23/2024,$246.38 ,111928200,$253.60 ,$255.76 ,$245.63 
7/22/2024,$251.51 ,101225400,$244.21 ,$253.21 ,$243.75 
7/19/2024,$239.20 ,87403900,$247.79 ,$249.44 ,$236.83 
7/18/2024,$249.23 ,110869000,$251.09 ,$257.14 ,$247.20 
7/17/2024,$248.50 ,115584800,$252.73 ,$258.47 ,$246.18 
7/16/2024,$256.56 ,126332500,$255.31 ,$258.62 ,$245.80 
7/15/2024,$252.64 ,146912900,$255.97 ,$265.60 ,$251.73 
7/12/2024,$248.23 ,155955800,$235.80 ,$251.84 ,$233.09 
7/11/2024,$241.03 ,221707300,$263.30 ,$271.00 ,$239.65 
7/10/2024,$263.26 ,128519400,$262.80 ,$267.59 ,$257.86 
7/9/2024,$262.33 ,160742500,$251.00 ,$265.61 ,$250.30 
7/8/2024,$252.94 ,157219600,$247.71 ,$259.44 ,$244.57 
7/5/2024,$251.52 ,154501200,$249.81 ,$252.37 ,$242.46 
7/3/2024,$246.39 ,166561500,$234.56 ,$248.35 ,$234.25 
7/2/2024,$231.26 ,205047900,$218.89 ,$231.30 ,$218.06 
7/1/2024,$209.86 ,135691400,$201.02 ,$213.23 ,$200.85 
6/28/2024,$197.88 ,95438070,$199.55 ,$203.20 ,$195.26 
6/27/2024,$197.42 ,72746520,$195.17 ,$198.72 ,$194.05 
6/26/2024,$196.37 ,95737070,$186.54 ,$197.76 ,$186.36 
6/25/2024,$187.35 ,63678270,$184.40 ,$187.97 ,$182.01 
6/24/2024,$182.58 ,61992070,$184.97 ,$188.80 ,$182.55 
6/21/2024,$183.01 ,63029480,$182.30 ,$183.95 ,$180.69 
6/20/2024,$181.57 ,55893140,$184.68 ,$185.21 ,$179.66 
6/18/2024,$184.86 ,68982270,$186.56 ,$187.20 ,$182.37 
6/17/2024,$187.44 ,109786100,$177.92 ,$188.81 ,$177.00 
6/14/2024,$178.01 ,82038190,$185.80 ,$186.00 ,$176.92 
6/13/2024,$182.47 ,118984100,$188.39 ,$191.08 ,$181.23 
6/12/2024,$177.29 ,90389450,$171.12 ,$180.55 ,$169.80 
6/11/2024,$170.66 ,64761930,$173.92 ,$174.75 ,$167.41 
6/10/2024,$173.79 ,50869680,$176.06 ,$178.57 ,$173.17 
6/7/2024,$177.48 ,56244930,$176.13 ,$179.35 ,$175.58 
6/6/2024,$177.94 ,69887020,$174.60 ,$179.73 ,$172.73 
6/5/2024,$175.00 ,57953760,$175.35 ,$176.15 ,$172.13 
6/4/2024,$174.77 ,60056340,$174.78 ,$177.76 ,$174.00 
6/3/2024,$176.29 ,68568920,$178.13 ,$182.64 ,$174.49 
5/31/2024,$178.08 ,67314600,$178.50 ,$180.32 ,$173.82 
5/30/2024,$178.79 ,77784760,$178.58 ,$182.67 ,$175.38 
5/29/2024,$176.19 ,54782650,$174.19 ,$178.15 ,$173.93 
5/28/2024,$176.75 ,59736620,$176.40 ,$178.25 ,$173.16 
5/24/2024,$179.24 ,65584480,$174.84 ,$180.08 ,$173.73 
5/23/2024,$173.74 ,71975500,$181.80 ,$181.90 ,$173.26 
5/22/2024,$180.11 ,88313480,$182.85 ,$183.80 ,$178.12 
5/21/2024,$186.60 ,115266500,$175.51 ,$186.88 ,$174.71 
5/20/2024,$174.95 ,61727430,$177.56 ,$177.75 ,$173.52 
5/17/2024,$177.46 ,77445850,$173.55 ,$179.63 ,$172.75 
5/16/2024,$174.84 ,59812220,$174.10 ,$175.79 ,$171.43 
5/15/2024,$173.99 ,79662990,$179.90 ,$180.00 ,$173.11 
5/14/2024,$177.55 ,86407420,$174.50 ,$179.49 ,$174.07 
5/13/2024,$171.89 ,67018900,$170.00 ,$175.40 ,$169.00 
5/10/2024,$168.47 ,72627180,$173.05 ,$173.06 ,$167.75 
5/9/2024,$171.97 ,65950290,$175.01 ,$175.62 ,$171.37 
5/8/2024,$174.72 ,79969490,$171.59 ,$176.06 ,$170.15 
5/7/2024,$177.81 ,75045850,$182.40 ,$183.26 ,$177.40 
5/6/2024,$184.76 ,84390250,$183.80 ,$187.56 ,$182.20 
5/3/2024,$181.19 ,75491540,$182.10 ,$184.78 ,$178.42 
5/2/2024,$180.01 ,89148040,$182.86 ,$184.60 ,$176.02 
5/1/2024,$179.99 ,92829720,$182.00 ,$185.86 ,$179.01 
4/30/2024,$183.28 ,127031800,$186.98 ,$190.95 ,$182.84 
4/29/2024,$194.05 ,243869700,$188.42 ,$198.87 ,$184.54 
4/26/2024,$168.29 ,109815700,$168.85 ,$172.12 ,$166.37 
4/25/2024,$170.18 ,126427500,$158.96 ,$170.88 ,$158.36 
4/24/2024,$162.13 ,181178000,$162.84 ,$167.97 ,$157.51 
4/23/2024,$144.68 ,124545100,$143.33 ,$147.26 ,$141.11 
4/22/2024,$142.05 ,107097600,$140.56 ,$144.44 ,$138.80 
4/19/2024,$147.05 ,87074500,$148.97 ,$150.94 ,$146.22 
4/18/2024,$149.93 ,96098830,$151.25 ,$152.20 ,$148.70 
4/17/2024,$155.45 ,82439720,$157.64 ,$158.33 ,$153.78 
4/16/2024,$157.11 ,96999960,$156.74 ,$158.19 ,$153.75 
4/15/2024,$161.48 ,100245300,$170.24 ,$170.69 ,$161.38 
4/12/2024,$171.05 ,64722670,$172.34 ,$173.81 ,$170.36 
4/11/2024,$174.60 ,94515990,$172.55 ,$175.88 ,$168.51 
4/10/2024,$171.76 ,84532410,$173.04 ,$174.93 ,$170.01 
4/9/2024,$176.88 ,103232700,$172.91 ,$179.22 ,$171.92 
4/8/2024,$172.98 ,104423300,$169.34 ,$174.50 ,$167.79 
4/5/2024,$164.90 ,143157600,$169.08 ,$170.86 ,$160.51 
4/4/2024,$171.11 ,123162000,$170.07 ,$177.19 ,$168.01 
4/3/2024,$168.38 ,82950140,$164.02 ,$168.82 ,$163.28 
4/2/2024,$166.63 ,116650600,$164.75 ,$167.69 ,$163.43 
4/1/2024,$175.22 ,81562130,$176.17 ,$176.75 ,$170.21 
3/28/2024,$175.79 ,77654840,$177.45 ,$179.57 ,$175.30 
3/27/2024,$179.83 ,81804040,$181.41 ,$181.91 ,$176.00 
3/26/2024,$177.67 ,113186200,$178.58 ,$184.25 ,$177.38 
3/25/2024,$172.63 ,74228620,$168.76 ,$175.24 ,$168.73 
3/22/2024,$170.83 ,75580640,$166.69 ,$171.20 ,$166.30 
3/21/2024,$172.82 ,73178010,$176.39 ,$178.18 ,$171.80 
3/20/2024,$175.66 ,83846730,$173.00 ,$176.25 ,$170.82 
3/19/2024,$171.32 ,77271430,$172.36 ,$172.82 ,$167.42 
3/18/2024,$173.80 ,108214400,$170.02 ,$174.72 ,$165.90 
3/15/2024,$163.57 ,97146830,$163.16 ,$165.18 ,$160.76 
3/14/2024,$162.50 ,126325700,$167.77 ,$171.17 ,$160.51 
3/13/2024,$169.48 ,106524500,$173.05 ,$176.05 ,$169.15 
3/12/2024,$177.54 ,87391680,$177.77 ,$179.43 ,$172.41 
3/11/2024,$177.77 ,85391530,$175.45 ,$182.87 ,$174.80 
3/8/2024,$175.34 ,85544640,$181.50 ,$182.73 ,$174.70 
3/7/2024,$178.65 ,102129000,$174.35 ,$180.04 ,$173.70 
3/6/2024,$176.54 ,107920900,$179.99 ,$181.58 ,$173.70 
3/5/2024,$180.74 ,119660800,$183.05 ,$184.59 ,$177.57 
3/4/2024,$188.14 ,134334900,$198.73 ,$199.75 ,$186.72 
3/1/2024,$202.64 ,82243120,$200.52 ,$204.52 ,$198.50 
2/29/2024,$201.88 ,85906970,$204.18 ,$205.28 ,$198.45 
2/28/2024,$202.04 ,99806170,$200.42 ,$205.30 ,$198.44 
2/27/2024,$199.73 ,108645400,$204.04 ,$205.60 ,$198.26 
2/26/2024,$199.40 ,111747100,$192.29 ,$201.78 ,$192.00 
2/23/2024,$191.97 ,78841920,$195.31 ,$197.57 ,$191.50 
2/22/2024,$197.41 ,92739460,$194.00 ,$198.32 ,$191.36 
2/21/2024,$194.77 ,103844000,$193.36 ,$199.44 ,$191.95 
2/20/2024,$193.76 ,104545800,$196.13 ,$198.60 ,$189.13 
2/16/2024,$199.95 ,111346700,$202.06 ,$203.17 ,$197.40 
2/15/2024,$200.45 ,120831800,$189.16 ,$200.88 ,$188.86 
2/14/2024,$188.71 ,81202990,$185.30 ,$188.89 ,$183.35 
2/13/2024,$184.02 ,86759480,$183.99 ,$187.26 ,$182.11 
2/12/2024,$188.13 ,95498600,$192.11 ,$194.73 ,$187.28 
2/9/2024,$193.57 ,84476350,$190.18 ,$194.12 ,$189.48 
2/8/2024,$189.56 ,83034040,$189.00 ,$191.62 ,$185.58 
2/7/2024,$187.58 ,111535200,$188.18 ,$189.79 ,$182.68 
2/6/2024,$185.10 ,122676000,$177.21 ,$186.49 ,$177.11 
2/5/2024,$181.06 ,134294400,$184.26 ,$184.68 ,$175.01 
2/2/2024,$187.91 ,110612700,$185.04 ,$188.69 ,$182.00 
2/1/2024,$188.86 ,91843280,$188.50 ,$189.88 ,$184.28 
1/31/2024,$187.29 ,103221400,$187.00 ,$193.97 ,$185.85 
1/30/2024,$191.59 ,109982300,$195.33 ,$196.36 ,$190.61 
1/29/2024,$190.93 ,125013100,$185.63 ,$191.48 ,$183.67 
1/26/2024,$183.25 ,107343200,$185.50 ,$186.78 ,$182.10 
1/25/2024,$182.63 ,198076800,$189.70 ,$193.00 ,$180.06 
1/24/2024,$207.83 ,123369900,$211.88 ,$212.73 ,$206.77 
1/23/2024,$209.14 ,106605900,$211.30 ,$215.65 ,$207.75 
1/22/2024,$208.80 ,117952500,$212.26 ,$217.80 ,$206.27 
1/19/2024,$212.19 ,102260300,$209.99 ,$213.19 ,$207.56 
1/18/2024,$211.88 ,108595400,$216.88 ,$217.45 ,$208.74 
1/17/2024,$215.55 ,103164400,$214.86 ,$215.67 ,$212.01 
1/16/2024,$219.91 ,115355000,$215.10 ,$223.49 ,$212.18 
1/12/2024,$218.89 ,123043800,$220.08 ,$225.34 ,$217.15 
1/11/2024,$227.22 ,105873600,$230.57 ,$230.93 ,$225.37 
1/10/2024,$233.94 ,91628500,$235.10 ,$235.50 ,$231.29 
1/9/2024,$234.96 ,96705660,$238.11 ,$238.96 ,$232.04 
1/8/2024,$240.45 ,85166580,$236.14 ,$241.25 ,$235.30 
1/5/2024,$237.49 ,92488940,$236.86 ,$240.12 ,$234.90 
1/4/2024,$237.93 ,102629300,$239.25 ,$242.70 ,$237.73 
1/3/2024,$238.45 ,121082600,$244.98 ,$245.68 ,$236.32 
1/2/2024,$248.42 ,104654200,$250.08 ,$251.25 ,$244.41 
12/29/2023,$248.48 ,100891600,$255.10 ,$255.19 ,$247.43 
12/28/2023,$253.18 ,113619900,$263.66 ,$265.13 ,$252.71 
12/27/2023,$261.44 ,106494400,$258.35 ,$263.34 ,$257.52 
12/26/2023,$256.61 ,86892380,$254.49 ,$257.97 ,$252.91 
12/22/2023,$252.54 ,93370090,$256.76 ,$258.22 ,$251.37 
12/21/2023,$254.50 ,109594200,$251.90 ,$254.80 ,$248.55 
12/20/2023,$247.14 ,125097000,$256.41 ,$259.84 ,$247.00 
12/19/2023,$257.22 ,106737400,$253.48 ,$258.34 ,$253.01 
12/18/2023,$252.08 ,116416500,$253.78 ,$258.74 ,$251.36 
12/15/2023,$253.50 ,135932800,$251.21 ,$254.13 ,$248.30 
12/14/2023,$251.05 ,160829200,$241.22 ,$253.88 ,$240.79 
12/13/2023,$239.29 ,146286300,$234.19 ,$240.30 ,$228.20 
12/12/2023,$237.01 ,95328310,$238.55 ,$238.99 ,$233.87 
12/11/2023,$239.74 ,97913890,$242.74 ,$243.44 ,$237.45 
12/8/2023,$243.84 ,103126800,$240.27 ,$245.27 ,$239.27 
12/7/2023,$242.64 ,107142300,$241.55 ,$244.08 ,$236.98 
12/6/2023,$239.37 ,126436200,$242.92 ,$246.57 ,$239.17 
12/5/2023,$238.72 ,137971100,$233.87 ,$246.66 ,$233.70 
12/4/2023,$235.58 ,104099800,$235.75 ,$239.37 ,$233.29 
12/1/2023,$238.83 ,121331700,$233.14 ,$240.19 ,$231.90 
11/30/2023,$240.08 ,132353200,$245.14 ,$245.22 ,$236.91 
11/29/2023,$244.14 ,135401300,$249.21 ,$252.75 ,$242.76 
11/28/2023,$246.72 ,148549900,$236.68 ,$247.00 ,$234.01 
11/27/2023,$236.08 ,112031800,$236.89 ,$238.33 ,$232.10 
11/24/2023,$235.45 ,65125200,$233.75 ,$238.75 ,$232.33 
11/22/2023,$234.21 ,118117100,$242.04 ,$244.01 ,$231.40 
11/21/2023,$241.20 ,122288000,$235.04 ,$243.62 ,$233.34 
11/20/2023,$235.60 ,116562400,$234.04 ,$237.10 ,$231.02 
11/17/2023,$234.30 ,142766200,$232.00 ,$237.39 ,$226.54 
11/16/2023,$233.59 ,136816800,$239.49 ,$240.88 ,$230.96 
11/15/2023,$242.84 ,150354000,$239.29 ,$246.70 ,$236.45 
11/14/2023,$237.41 ,149771600,$235.03 ,$238.14 ,$230.72 
11/13/2023,$223.71 ,140447600,$215.60 ,$225.40 ,$211.61 
11/10/2023,$214.65 ,131310100,$210.03 ,$215.38 ,$205.69 
11/9/2023,$209.98 ,142110500,$219.75 ,$220.80 ,$206.68 
11/8/2023,$222.11 ,106584800,$223.15 ,$224.15 ,$217.64 
11/7/2023,$222.18 ,116900100,$219.98 ,$223.12 ,$215.72 
11/6/2023,$219.27 ,117335800,$223.98 ,$226.32 ,$215.00 
11/3/2023,$219.96 ,119534800,$221.15 ,$226.37 ,$218.40 
11/2/2023,$218.51 ,125987600,$212.97 ,$219.20 ,$211.45 
11/1/2023,$205.66 ,121661700,$204.04 ,$205.99 ,$197.85 
10/31/2023,$200.84 ,118068300,$196.12 ,$202.80 ,$194.07 
10/30/2023,$197.36 ,136448200,$209.28 ,$210.88 ,$194.67 
10/27/2023,$207.30 ,94881170,$210.60 ,$212.41 ,$205.77 
10/26/2023,$205.76 ,115112600,$211.32 ,$214.80 ,$204.88 
10/25/2023,$212.42 ,107065100,$215.88 ,$220.10 ,$212.20 
10/24/2023,$216.52 ,118231100,$216.50 ,$222.05 ,$214.11 
10/23/2023,$212.08 ,150683400,$210.00 ,$216.98 ,$202.51 
10/20/2023,$211.99 ,138010100,$217.01 ,$218.86 ,$210.42 
10/19/2023,$220.11 ,170772700,$225.95 ,$230.61 ,$216.78 
10/18/2023,$242.68 ,125147800,$252.70 ,$254.63 ,$242.08 
10/17/2023,$254.85 ,93562910,$250.10 ,$257.18 ,$247.08 
10/16/2023,$253.92 ,88917180,$250.05 ,$255.40 ,$248.48 
10/13/2023,$251.12 ,102296800,$258.90 ,$259.60 ,$250.22 
10/12/2023,$258.87 ,111508100,$262.92 ,$265.41 ,$256.63 
10/11/2023,$262.99 ,103706300,$266.20 ,$268.60 ,$260.90 
10/10/2023,$263.62 ,122656000,$257.75 ,$268.94 ,$257.65 
10/9/2023,$259.67 ,101377900,$255.31 ,$261.36 ,$252.05 
10/6/2023,$260.53 ,118121800,$253.98 ,$261.65 ,$250.65 
10/5/2023,$260.05 ,119159200,$260.00 ,$263.60 ,$256.25 
10/4/2023,$261.16 ,129721600,$248.14 ,$261.86 ,$247.60 
10/3/2023,$246.53 ,101985300,$248.61 ,$250.02 ,$244.45 
10/2/2023,$251.60 ,123810400,$244.81 ,$254.28 ,$242.62 
9/29/2023,$250.22 ,128522700,$250.00 ,$254.77 ,$246.35 
9/28/2023,$246.38 ,117058900,$240.02 ,$247.55 ,$238.65 
9/27/2023,$240.50 ,136597200,$244.26 ,$245.33 ,$234.58 
9/26/2023,$244.12 ,101993600,$242.98 ,$249.55 ,$241.66 
9/25/2023,$246.99 ,104636600,$243.38 ,$247.10 ,$238.31 
9/22/2023,$244.88 ,127524100,$257.40 ,$257.79 ,$244.48 
9/21/2023,$255.70 ,119951500,$257.85 ,$260.86 ,$254.21 
9/20/2023,$262.59 ,122514600,$267.04 ,$273.93 ,$262.46 
9/19/2023,$266.50 ,103704000,$264.35 ,$267.85 ,$261.20 
9/18/2023,$265.28 ,101543300,$271.16 ,$271.44 ,$263.76 
9/15/2023,$274.39 ,133692300,$277.55 ,$278.98 ,$271.00 
9/14/2023,$276.04 ,107709800,$271.32 ,$276.71 ,$270.42 
9/13/2023,$271.30 ,111673700,$270.07 ,$274.98 ,$268.10 
9/12/2023,$267.48 ,135999900,$270.76 ,$278.39 ,$266.60 
9/11/2023,$273.58 ,174667900,$264.27 ,$274.85 ,$260.61 
9/8/2023,$248.50 ,118559600,$251.22 ,$256.52 ,$246.67 
9/7/2023,$251.49 ,115312900,$245.07 ,$252.81 ,$243.27 
9/6/2023,$251.92 ,116959800,$255.14 ,$255.39 ,$245.06 
9/5/2023,$256.49 ,129469600,$245.00 ,$258.00 ,$244.86 
